level,name,shortName,code,leaf,path,favorite,dimensionItemType,displayName,displayShortName,externalAccess,featureType,openingDate,parent,access,children,translations,userGroupAccesses,attributeValues,userAccesses,legendSets,favorites,numberOfChildren
4,IR - Kyrgyzstan,IR - Kyrgyzstan,Ento_KG,1,/Hs0PQkZwh54/tj59TOvhhDA/T3NCngQFnl2/RGrN2iIHx6q,,ORGANISATION_UNIT,IR - Kyrgyzstan,IR - Kyrgyzstan,,MULTI_POLYGON,1970-01-01T00:00:00.000,"{""name"":""Insecticide Resistance-EURO""}","{""read"":true,""update"":true,""externalize"":true,""delete"":true,""write"":true,""manage"":true}",[],[],[],[],[],[],[],0
4,IR - Turkmenistan,IR - Turkmenistan,Ento_TM,1,/Hs0PQkZwh54/tj59TOvhhDA/T3NCngQFnl2/I26RgrlR84B,,ORGANISATION_UNIT,IR - Turkmenistan,IR - Turkmenistan,,MULTI_POLYGON,1970-01-01T00:00:00.000,"{""name"":""Insecticide Resistance-EURO""}","{""read"":true,""update"":true,""externalize"":true,""delete"":true,""write"":true,""manage"":true}",[],[],[],[],[],[],[],0
4,IR - Mayotte - France,IR - Mayotte - France,Ento_YT,1,/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/k2oXbnPo6SB,,ORGANISATION_UNIT,IR - Mayotte - France,IR - Mayotte - France,,NONE,1970-01-01T00:00:00.000,"{""name"":""Insecticide Resistance-AFRO""}","{""read"":true,""update"":true,""externalize"":true,""delete"":true,""write"":true,""manage"":true}",[],[],[],[],[],[],[],0
4,IR - United Republic of Tanzania (Mainland),IR - United Republic of Tanzania (Mainland),Ento_TA,,/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/aRHTKtRAIWv,,ORGANISATION_UNIT,IR - United Republic of Tanzania (Mainland),IR - United Republic of Tanzania (Mainland),,NONE,1970-01-01T00:00:00.000,"{""name"":""Insecticide Resistance-AFRO""}","{""read"":true,""update"":true,""externalize"":true,""delete"":true,""write"":true,""manage"":true}","[{""name"":""Muheza"",""id"":""Eq9ESSfRKBd""},{""name"":""Magu"",""id"":""bVhSvqS5pHp""},{""name"":""Sengerema"",""id"":""hO6LnrZZ40M""},{""name"":""Zeneti Site 2"",""id"":""qBLzRJjnwXt""},{""name"":""Kigoma"",""id"":""u5vlRYk7OWr""},{""name"":""Kyamyorwa"",""id"":""K7xAcWGBPwy""},{""name"":""Magomeni"",""id"":""QwsktYiR9GA""},{""name"":""Kimbuga"",""id"":""GGbzPX8zpQ6""},{""name"":""Kiwangwa"",""id"":""bTCyquCRtgc""},{""name"":""Kilombero"",""id"":""Z9xysnJWM9P""},{""name"":""Sumbawanga"",""id"":""i7GhFx05Cuj""},{""name"":""Rundagai"",""id"":""M0yGCPcz6vA""},{""name"":""Nyasa"",""id"":""uOl34gVJ4sW""},{""name"":""Temeke"",""id"":""zWbjXmjx6Sn""},{""name"":""Morogoro  region"",""id"":""wo5POrt0AOy""},{""name"":""Kasulu"",""id"":""TzogCszJf4u""},{""name"":""Musoma"",""id"":""dwVScFEdu4m""},{""name"":""Songea"",""id"":""DErSAhHqemk""},{""name"":""Manyoni"",""id"":""RIeMtY6hec9""},{""name"":""Muleba"",""id"":""rt8pvfpQcoV""},{""name"":""Bariadi"",""id"":""tWB7eZDsE7s""},{""name"":""Ilala"",""id"":""KeUp9euAzYX""},{""name"":""Kahama"",""id"":""bUCjpvL2mL4""},{""name"":""Lower Moshi Site 1"",""id"":""whnqxVI8hnd""},{""name"":""Chitete"",""id"":""DepQKBM1rsr""},{""name"":""Tarime"",""id"":""houulpaA4Ra""},{""name"":""Buhanga"",""id"":""eYbtlqokuQE""},{""name"":""Kikafu"",""id"":""xvNwo33e6k8""},{""name"":""Katindiuka"",""id"":""pwFRbVQQkNN""},{""name"":""Majengo"",""id"":""XwAN1YAONhK""},{""name"":""Babati"",""id"":""dBCRATQyqgt""},{""name"":""Zeneti Site 1"",""id"":""NvI5YL1p2gb""},{""name"":""Bagamoyo"",""id"":""F4HbIqkER7U""},{""name"":""Ruangwa"",""id"":""tJPUU0xlVZU""},{""name"":""Dar Es Salaam"",""id"":""Yat2nQa0v19""},{""name"":""Kinangali"",""id"":""TZz1idrFeeU""},{""name"":""Mkuku"",""id"":""ZEb8g2b1nqR""},{""name"":""Geita"",""id"":""YPryNKZLarQ""},{""name"":""Tanga region"",""id"":""ofFx1iTzcOd""},{""name"":""Kidiama"",""id"":""njboHu9kRce""},{""name"":""Moshi"",""id"":""LkWMpwVfGO4""},{""name"":""Rwigembe"",""id"":""M2II3zIAxA8""},{""name"":""Kilulu"",""id"":""ALbErDJ7TPC""},{""name"":""Ngara"",""id"":""cE70jlMyZxe""},{""name"":""Nyang Wale"",""id"":""EVoPPfsFeAV""},{""name"":""Nyakahama"",""id"":""KetQzOX9xjx""},{""name"":""Kondoa"",""id"":""NHgEWxt54Si""},{""name"":""Ngenge"",""id"":""E3jLJOfJ0RU""},{""name"":""Kishuro"",""id"":""IFOYYa2FGPO""},{""name"":""Puma"",""id"":""LmAHxSsbHHS""},{""name"":""Gichameda"",""id"":""d4pm2s7IJnJ""},{""name"":""Kikagate"",""id"":""G3ZarJdbp48""},{""name"":""Mabogini"",""id"":""e7SmehWAKSR""},{""name"":""Ifakara region"",""id"":""Ok4ctB6RI80""},{""name"":""Mhungula"",""id"":""gGkT4wjctcW""},{""name"":""Karagwe"",""id"":""BDeTwTrXIsB""},{""name"":""Mwanza  region"",""id"":""EZlfarJzP6w""},{""name"":""Lushoto"",""id"":""wm91JiK6f24""},{""name"":""Nzega"",""id"":""fHc53ohN3Xk""},{""name"":""Butiama"",""id"":""US6PKioLSCR""},{""name"":""Buhuma"",""id"":""qqHqHzqTy7C""},{""name"":""Viwanja Sitini"",""id"":""ausTOvHqfrX""},{""name"":""Iringa"",""id"":""qYKeyX9WRk4""},{""name"":""Dodoma"",""id"":""t1hG9mBT0AB""},{""name"":""Arumeru"",""id"":""NQQMQXa4PhO""},{""name"":""Mbozi"",""id"":""R54aSy6hsiG""},{""name"":""Singida"",""id"":""Ey9sl5YD4vw""},{""name"":""Kideka"",""id"":""kJ1yAU1KWsr""},{""name"":""Tabora"",""id"":""UTH2oXmK5Uz""},{""name"":""Kangoma"",""id"":""lEN8k7OYFRW""},{""name"":""Misenyi"",""id"":""OtlDL1rw8jN""},{""name"":""Kawe"",""id"":""tJMdgelCDLW""},{""name"":""Kinondoni"",""id"":""Rf5rf9dD18R""},{""name"":""Lugoi"",""id"":""oK6wpYbFyk5""},{""name"":""Wegero"",""id"":""ahlRvUZZG7a""},{""name"":""ChemChem"",""id"":""SpsOsFiSGoj""},{""name"":""Kakonko"",""id"":""niueWGDCGwH""},{""name"":""Kiungoni"",""id"":""FBdNFFq24SX""},{""name"":""Mvomero"",""id"":""giq4u5zfbzQ""},{""name"":""Lower Moshi site 3"",""id"":""qnMeW4EAfwF""},{""name"":""Handeni"",""id"":""I0sxFWHfcSg""},{""name"":""Kawaya"",""id"":""wcnsvB048MZ""},{""name"":""Uyui"",""id"":""ha1r15rN7cV""},{""name"":""Ngonga"",""id"":""P4NPN39nZVR""},{""name"":""Namawala"",""id"":""Q7btybOzrwG""},{""name"":""Rungwe"",""id"":""CFSIMHavGrz""},{""name"":""Mwibagi"",""id"":""kE49NKzKrrU""},{""name"":""Ighuka"",""id"":""iNGYt85kDVm""},{""name"":""Kyela"",""id"":""mAev5NYxUSX""},{""name"":""Kilosa"",""id"":""N66InEvCCdU""},{""name"":""Muze"",""id"":""Xy1U4ngRaTm""},{""name"":""Uvinza"",""id"":""Ko6tr7vXYe7""},{""name"":""Kiteme"",""id"":""Z2NyioguK4O""},{""name"":""Mpanda"",""id"":""Q0zdUPBWmBf""},{""name"":""Nyamikoma"",""id"":""Xttc5wV7aeL""},{""name"":""Misungwi"",""id"":""oHoEAHsgnRq""},{""name"":""Mwivuza"",""id"":""Xo0PurTpHsm""},{""name"":""Mbeya  region"",""id"":""m9Xv2D76BFh""},{""name"":""Mtwara"",""id"":""IMM8sBz2VzB""}]",[],[],[],[],[],[],99
4,IR - United Republic of Tanzania (Zanzibar),IR - United Republic of Tanzania (Zanzibar),Ento_ZZ,,/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/wMq2QQgCyUO,,ORGANISATION_UNIT,IR - United Republic of Tanzania (Zanzibar),IR - United Republic of Tanzania (Zanzibar),,NONE,1970-01-01T00:00:00.000,"{""name"":""Insecticide Resistance-AFRO""}","{""read"":true,""update"":true,""externalize"":true,""delete"":true,""write"":true,""manage"":true}","[{""name"":""Cheju"",""id"":""XONrUBgj86v""},{""name"":""Kilimani"",""id"":""TZag34coKto""},{""name"":""Chwale"",""id"":""L6Tqj0FZUnX""},{""name"":""Uzini"",""id"":""JLGUYJuqFUl""},{""name"":""Chuini"",""id"":""rbXwMfHrEF1""},{""name"":""Minungwini"",""id"":""HQMGM9Nsdut""},{""name"":""Mwera"",""id"":""o4zG0bbymBk""},{""name"":""Kianga"",""id"":""hgsDGJPVyZ4""},{""name"":""Kisiwa Panza"",""id"":""j6ZRVc1hEap""},{""name"":""Unguja"",""id"":""adsTc57WCwm""},{""name"":""Pemba"",""id"":""SGRAjQq5xPe""},{""name"":""Tumbe"",""id"":""qZC8UtBWgZA""},{""name"":""Tibirinnzi"",""id"":""vFkRjMRMrPY""},{""name"":""Mangwena"",""id"":""I5jquOZyb7Z""},{""name"":""Uwandani"",""id"":""R9XyoQvreM1""},{""name"":""Pujini"",""id"":""Dix887ikBYG""},{""name"":""Msuka"",""id"":""ohrjnIRZiDe""},{""name"":""Machengwe"",""id"":""O8zVwcWWRWg""}]",[],[],[],[],[],[],18
