level,name,shortName,code,leaf,path,displayName,displayShortName,featureType,openingDate,closedDate,parent,attributeValues,numberOfChildren
"[4,5]","[""Alibori"",""Alibori""]",,"[""BJ.AL"",""IRBJ12""]","[false,true]","[""/H8RixfF8ugH/seHJdofSPcM/DzAOqCf0ots/TisUBzDKsIm"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/kLPdeItiNhr/O6xW9nVML5W""]",,,"[""POLYGON"",""POINT""]","[""1970-01-01T00:00:00.000"",""2016-01-01T00:00:00.000""]",,"[{""name"":""Republic of Benin""},{""name"":""IR - Benin""}]",,"[6,0]"
"[4,5]","[""Tadjourah"",""Tadjourah""]",,"[""DJI005"",""IRDJ11""]","[false,true]","[""/H8RixfF8ugH/yWc1CTszR3s/Yg9QkNQk9p7/DpETucNXjGZ"",""/Hs0PQkZwh54/tj59TOvhhDA/UvOtZMl67cF/bt79lkCundk/S8LsdQ8QYWT""]",,,"[""POLYGON"",""POINT""]","[""1970-01-01T00:00:00.000"",""2011-01-01T00:00:00.000""]",,"[{""name"":""Republic of Djibouti""},{""name"":""IR - Djibouti""}]",,"[4,0]"
"[4,5]","[""Obock"",""Obock""]",,"[""DJI004"",""IRDJ9""]","[false,true]","[""/H8RixfF8ugH/yWc1CTszR3s/Yg9QkNQk9p7/S0n16978PQ7"",""/Hs0PQkZwh54/tj59TOvhhDA/UvOtZMl67cF/bt79lkCundk/y5cgvA44MPx""]",,,"[""POLYGON"",""POINT""]","[""1970-01-01T00:00:00.000"",""2011-01-01T00:00:00.000""]",,"[{""name"":""Republic of Djibouti""},{""name"":""IR - Djibouti""}]",,"[2,0]"
"[4,5]","[""Nangarhar"",""Nangarhar""]",,"[""AFG021"",""IRAF33""]","[false,true]","[""/H8RixfF8ugH/yWc1CTszR3s/oofyLUJJ6Vy/cnDtMGEyqok"",""/Hs0PQkZwh54/tj59TOvhhDA/UvOtZMl67cF/munxLBQM1ZQ/mjLMi956Vmt""]",,,"[""POLYGON"",""POINT""]","[""1970-01-01T00:00:00.000"",""2014-01-01T00:00:00.000""]",,"[{""name"":""Islamic Republic of  Afghanistan""},{""name"":""IR - Afghanistan""}]",,"[20,0]"
"[4,5]","[""Laghman"",""Laghman""]",,"[""AFG019"",""IRAF29""]","[false,true]","[""/H8RixfF8ugH/yWc1CTszR3s/oofyLUJJ6Vy/HEQgZN80msQ"",""/Hs0PQkZwh54/tj59TOvhhDA/UvOtZMl67cF/munxLBQM1ZQ/PodOUlpEJcJ""]",,,"[""POLYGON"",""POINT""]","[""1970-01-01T00:00:00.000"",""2014-01-01T00:00:00.000""]",,"[{""name"":""Islamic Republic of  Afghanistan""},{""name"":""IR - Afghanistan""}]",,"[5,0]"
"[4,5]","[""Kunduz"",""Kunduz""]",,"[""AFG018"",""IRAF28""]","[false,true]","[""/H8RixfF8ugH/yWc1CTszR3s/oofyLUJJ6Vy/Dnok8YsjCx0"",""/Hs0PQkZwh54/tj59TOvhhDA/UvOtZMl67cF/munxLBQM1ZQ/WfcPpyqKyi9""]",,,"[""POLYGON"",""POINT""]","[""1970-01-01T00:00:00.000"",""2017-01-01T00:00:00.000""]",,"[{""name"":""Islamic Republic of  Afghanistan""},{""name"":""IR - Afghanistan""}]",,"[7,0]"
"[4,5]","[""Kunar"",""Kunar""]",,"[""AFG017"",""IRAF27""]","[false,true]","[""/H8RixfF8ugH/yWc1CTszR3s/oofyLUJJ6Vy/zkOh91vZHqu"",""/Hs0PQkZwh54/tj59TOvhhDA/UvOtZMl67cF/munxLBQM1ZQ/Ameaxpx6qcF""]",,,"[""POLYGON"",""POINT""]","[""1970-01-01T00:00:00.000"",""2014-01-01T00:00:00.000""]",,"[{""name"":""Islamic Republic of  Afghanistan""},{""name"":""IR - Afghanistan""}]",,"[12,0]"
"[4,5]","[""Khost"",""Khost""]",,"[""AFG016"",""IRAF26""]","[false,true]","[""/H8RixfF8ugH/yWc1CTszR3s/oofyLUJJ6Vy/Vfw694WfxyB"",""/Hs0PQkZwh54/tj59TOvhhDA/UvOtZMl67cF/munxLBQM1ZQ/r7GxW7wacoU""]",,,"[""POLYGON"",""POINT""]","[""1970-01-01T00:00:00.000"",""2017-01-01T00:00:00.000""]",,"[{""name"":""Islamic Republic of  Afghanistan""},{""name"":""IR - Afghanistan""}]",,"[12,0]"
"[4,5]","[""Ghazni"",""Ghazni""]",,"[""AFG008"",""IRAF17""]","[false,true]","[""/H8RixfF8ugH/yWc1CTszR3s/oofyLUJJ6Vy/eVLdtzIUzbz"",""/Hs0PQkZwh54/tj59TOvhhDA/UvOtZMl67cF/munxLBQM1ZQ/mK8pG1sIDKg""]",,,"[""POLYGON"",""POINT""]","[""1970-01-01T00:00:00.000"",""2014-01-01T00:00:00.000""]",,"[{""name"":""Islamic Republic of  Afghanistan""},{""name"":""IR - Afghanistan""}]",,"[15,0]"
"[4,5]","[""Mashonaland East"",""Mashonaland East""]",,"[""ZW13"",""IRZW32""]","[false,true]","[""/H8RixfF8ugH/seHJdofSPcM/buSEeeViTo3/Mkd0X94Q45b"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/kjBzWYXG4Pc/XJlRu2ssQ3g""]",,,"[""MULTI_POLYGON"",""POINT""]","[""2017-04-18T00:00:00.000"",""2012-01-01T00:00:00.000""]",,"[{""name"":""Republic of Zimbabwe""},{""name"":""IR - Zimbabwe""}]","[[{""lastUpdated"":""2019-05-10T17:56:36.226"",""created"":""2019-05-10T17:56:36.206"",""value"":""OCHA  geodatabase, [2019-04-02]"",""attribute"":{""id"":""LmiNNUPlMxI""}}],[]]","[11,0]"
"[4,5]","[""Cankuzo"",""Cankuzo""]",,"[""BDI004"",""IRBI1""]","[false,true]","[""/H8RixfF8ugH/seHJdofSPcM/Xz7rnovuiOx/QF0BjNyIfLj"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/gJuFTWwUYZQ/ntDOCUquPHv""]",,,"[""MULTI_POLYGON"",""POINT""]","[""2017-04-18T00:00:00.000"",""2014-01-01T00:00:00.000""]",,"[{""name"":""Republic of Burundi""},{""name"":""IR - Burundi""}]","[[{""lastUpdated"":""2019-05-10T17:56:36.226"",""created"":""2019-05-10T17:56:36.206"",""value"":""OCHA  geodatabase, [2019-04-02]"",""attribute"":{""id"":""LmiNNUPlMxI""}}],[]]","[5,0]"
"[4,5]","[""Kinshasa"",""Kinshasa""]",,"[""COD10"",""IRCD21""]","[false,true]","[""/H8RixfF8ugH/seHJdofSPcM/EDHO4qOyY88/qRV5VZv5NwF"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/BtRY5uVghEC/uRYzZkT6m1X""]",,,"[""POLYGON"",""POINT""]","[""1970-01-01T00:00:00.000"",""2010-01-01T00:00:00.000""]",,"[{""name"":""Democratic Republic of the Congo""},{""name"":""IR - Democratic Republic of the Congo""}]",,"[1,0]"
