level,name,shortName,code,path,displayName,displayShortName,openingDate,url,parent,numberOfChildren
"[2,3]","[""WPR"",""Insecticide Resistance-WPRO""]","[""WPR"",""IR- WPRO""]","[""WPR"",""Ento- WPRO""]","[""/H8RixfF8ugH/RA5zxsbittk"",""/Hs0PQkZwh54/tj59TOvhhDA/oKLCOCbUNuu""]","[""WPR"",""Insecticide Resistance-WPRO""]","[""WPR"",""IR- WPRO""]","[""1970-01-01T00:00:00.000"",""2018-04-27T00:00:00.000""]","[""http://www.wpro.who.int/en/"",null]","[{""name"":""Global""},{""name"":""Insecticide Resistance""}]","[36,10]"
"[2,3]","[""SEAR"",""Insecticide Resistance-SEARO""]","[""SEAR"",""IR-SEARO""]","[""SEAR"",""Ento-SEARO""]","[""/H8RixfF8ugH/afomkmfy9xk"",""/Hs0PQkZwh54/tj59TOvhhDA/SAYniFQXmiw""]","[""SEAR"",""Insecticide Resistance-SEARO""]","[""SEAR"",""IR-SEARO""]","[""1970-01-01T00:00:00.000"",""2018-04-27T00:00:00.000""]","[""http://www.searo.who.int/en/"",null]","[{""name"":""Global""},{""name"":""Insecticide Resistance""}]","[11,11]"
"[2,3]","[""EUR"",""Insecticide Resistance-EURO""]","[""EUR"",""IR-EURO""]","[""EUR"",""Ento-EURO""]","[""/H8RixfF8ugH/svSQSBLTVz6"",""/Hs0PQkZwh54/tj59TOvhhDA/T3NCngQFnl2""]","[""EUR"",""Insecticide Resistance-EURO""]","[""EUR"",""IR-EURO""]","[""1970-01-01T00:00:00.000"",""2018-04-27T00:00:00.000""]","[""http://www.euro.who.int/index.html"",null]","[{""name"":""Global""},{""name"":""Insecticide Resistance""}]","[54,9]"
"[2,3]","[""EMR"",""Insecticide Resistance-EMRO""]","[""EMR"",""IR-EMRO""]","[""EMR"",""Ento-EMRO""]","[""/H8RixfF8ugH/yWc1CTszR3s"",""/Hs0PQkZwh54/tj59TOvhhDA/UvOtZMl67cF""]","[""EMR"",""Insecticide Resistance-EMRO""]","[""EMR"",""IR-EMRO""]","[""1970-01-01T00:00:00.000"",""2018-04-27T00:00:00.000""]","[""http://www.emro.who.int/index.html"",null]","[{""name"":""Global""},{""name"":""Insecticide Resistance""}]","[22,22]"
"[2,3]","[""AFR"",""Insecticide Resistance-AFRO""]","[""AFR"",""IR-AFRO""]","[""AFR"",""Ento-AFRO""]","[""/H8RixfF8ugH/seHJdofSPcM"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt""]","[""AFR"",""Insecticide Resistance-AFRO""]","[""AFR"",""IR-AFRO""]","[""1970-01-01T00:00:00.000"",""2018-04-27T00:00:00.000""]",,"[{""name"":""Global""},{""name"":""Insecticide Resistance""}]","[47,47]"
