level,name,shortName,code,leaf,path,favorite,dimensionItemType,displayName,displayShortName,externalAccess,featureType,openingDate,url,parent,access,children,translations,userGroupAccesses,attributeValues,userAccesses,legendSets,favorites,numberOfChildren
2,AMR,AMR,AMR,,/H8RixfF8ugH/wP2zKq0dDpw,,ORGANISATION_UNIT,AMR,AMR,,NONE,1970-01-01T00:00:00.000,http://www.paho.org,"{""name"":""Global""}","{""read"":true,""update"":true,""externalize"":true,""delete"":true,""write"":true,""manage"":true}","[{""name"":""Plurinational State of Bolivia"",""id"":""cpmmPDsQ3uG""},{""name"":""Republic of El Salvador"",""id"":""Mk7P920hkBa""},{""name"":""Republic of Cuba"",""id"":""Zdl3ad7PayF""},{""name"":""Republic of Trinidad and Tobago"",""id"":""fYeClLy8K2x""},{""name"":""Argentine Republic"",""id"":""AZdPnw0b1lm""},{""name"":""Republic of Panama"",""id"":""wUBWZEHJm6Q""},{""name"":""Puerto Rico"",""id"":""w3IJVQhc8Rm""},{""name"":""Bonaire, Saint Eustatius and Saba"",""id"":""wyKC2eWRH3y""},{""name"":""Cayman Islands"",""id"":""u3GOCB1Hu01""},{""name"":""Aruba"",""id"":""lKZR6UK0afN""},{""name"":""Republic of Suriname"",""id"":""jkyBvNzcTLl""},{""name"":""Republic of Colombia"",""id"":""jXQq22U4Y2e""},{""name"":""British Virgin Islands"",""id"":""u7H4MyT2Y0A""},{""name"":""Bermuda"",""id"":""ZzoDfdWIt6z""},{""name"":""Republic of Honduras"",""id"":""mDSuyD9lOM5""},{""name"":""Saint Lucia"",""id"":""RyAd6laKg3U""},{""name"":""Curaçao"",""id"":""QSpLidCdqMU""},{""name"":""Republic of Peru"",""id"":""vkXlj7ZPkGi""},{""name"":""Antigua and Barbuda"",""id"":""pfhvgmllA9M""},{""name"":""Eastern Republic of Uruguay"",""id"":""PJS910L8KtX""},{""name"":""Republic of Paraguay"",""id"":""Wpzccx0vjIP""},{""name"":""United States of America"",""id"":""AYWCbVecRKQ""},{""name"":""Commonwealth of the Bahamas"",""id"":""VbbSe7wgS9s""},{""name"":""Republic of Haiti"",""id"":""ipe4pT2TW7G""},{""name"":""Federative Republic of Brazil"",""id"":""dpcvWc01CeN""},{""name"":""Republic of Guyana"",""id"":""AUStREIxT4s""},{""name"":""Republic of Costa Rica"",""id"":""pbH6bmcioGw""},{""name"":""Dominican Republic"",""id"":""PpjdOoVUc7k""},{""name"":""Commonwealth of Dominica"",""id"":""s1mzBU7YOaZ""},{""name"":""Republic of Chile"",""id"":""zFInPJBZVbN""},{""name"":""Grenada"",""id"":""gg9DH7dvdeD""},{""name"":""Saint Vincent and the Grenadines"",""id"":""ZgsdoEiTlLq""},{""name"":""Turks and Caicos Islands"",""id"":""vg4b11FL2Gl""},{""name"":""US Virgin Islands"",""id"":""M9HrCkIwaKy""},{""name"":""Canada"",""id"":""AJBfDthkySs""},{""name"":""Saint Kitts and Nevis"",""id"":""BlC8wOVHBlb""},{""name"":""United Mexican States"",""id"":""KAUSOoBq5Ft""},{""name"":""Republic of Ecuador"",""id"":""LAPR4Iu2NVS""},{""name"":""Anguilla"",""id"":""f4ZFD2aswys""},{""name"":""Republic of Nicaragua"",""id"":""wnuoeS9sVZR""},{""name"":""Barbados"",""id"":""iNT35p3jsEM""},{""name"":""Sint Maarten (Dutch part)"",""id"":""cCgL3J7Lsgn""},{""name"":""Belize"",""id"":""Nrnay4JA8Ga""},{""name"":""Montserrat"",""id"":""B4iWc3gcDcn""},{""name"":""Jamaica"",""id"":""x6DVvicRjYC""},{""name"":""Bolivarian Republic of Venezuela"",""id"":""fkrzFaeuYDn""},{""name"":""Republic of Guatemala"",""id"":""bhkJDAiqVKX""}]",[],[],[],[],[],[],47
2,NA,NA,NA,,/H8RixfF8ugH/zXAaAXzwt4M,,ORGANISATION_UNIT,NA,NA,,NONE,1970-01-01T00:00:00.000,,"{""name"":""Global""}","{""read"":true,""update"":true,""externalize"":true,""delete"":true,""write"":true,""manage"":true}","[{""name"":""Saint Pierre and Miquelon"",""id"":""HYEuE8zV74t""},{""name"":""Christmas Island"",""id"":""XjHXb0aFH5w""},{""name"":""Serbia and Montenegro, Former"",""id"":""HizhPCC5Ps5""},{""name"":""Guadeloupe"",""id"":""cRWrIpjzvVl""},{""name"":""Ryu Kyu Islands"",""id"":""LTLHCOHyyWS""},{""name"":""Saint Barthélemy"",""id"":""GPyOOoIby8R""},{""name"":""French Southern Territories"",""id"":""BLpPqpMtgQY""},{""name"":""Holy See"",""id"":""jZOt27rWre8""},{""name"":""Liechtenstein"",""id"":""gMz0MxjZcEt""},{""name"":""Bouvet Island"",""id"":""sg5v6c9tCZ3""},{""name"":""Saint Martin (French part)"",""id"":""tSBEjAHKj9V""},{""name"":""United Kingdom, Northern Ireland"",""id"":""Q8De2VxoKXS""},{""name"":""USSR, Former"",""id"":""wFkq5oB0dFS""},{""name"":""French Guiana"",""id"":""UJVEh0g7qOo""},{""name"":""United Kingdom, Scotland"",""id"":""Gvox4WmLiYC""},{""name"":""Yugoslavia, Former"",""id"":""fIlPGTXBCUm""},{""name"":""The former state union Serbia and Montenegro"",""id"":""pGLy2Zj2lVg""},{""name"":""Cocos (Keeling) Islands"",""id"":""AFIorEPU00q""},{""name"":""South Georgia and South Sandwich Islands"",""id"":""z5ouOuycTPO""},{""name"":""Réunion"",""id"":""VwqhqUCaMgk""},{""name"":""Pitcairn"",""id"":""fHaKXfcKthe""},{""name"":""Mayotte"",""id"":""Bon3xyAAWKf""},{""name"":""Germany, Former Democratic Republic"",""id"":""hgGOTFYZxMO""},{""name"":""Heard Island and McDonald Islands"",""id"":""apVWLKfARpb""},{""name"":""Germany, West Berlin"",""id"":""Fq9qs6Kn6wN""},{""name"":""Rodrigues"",""id"":""ZRxKEGQmkWI""},{""name"":""China, Province of Taiwan"",""id"":""lGN2n7pZ6Ua""},{""name"":""United Kingdom, England and Wales"",""id"":""TpDwlm2Spev""},{""name"":""Western Sahara"",""id"":""PvrMV4NjbtR""},{""name"":""Jersey"",""id"":""XJscL6IuHpd""},{""name"":""Germany, Former Federal Republic"",""id"":""E9G2aQpCs1A""},{""name"":""Svalbard and Jan Mayen"",""id"":""TWyMjVaaxmT""},{""name"":""West Bank"",""id"":""KrU8C1YTdao""},{""name"":""Czechoslovakia, Former"",""id"":""NhuW760cOQG""},{""name"":""Faroe Islands"",""id"":""ngUSWwX0Oby""},{""name"":""British Indian Ocean Territory"",""id"":""PFAtPR87fHs""},{""name"":""Guernsey"",""id"":""NUkOvK4bnj2""},{""name"":""Falkland Islands (Malvinas)"",""id"":""PRrdILmQQb3""},{""name"":""Sudan (former)"",""id"":""IjLnDADGraQ""},{""name"":""Saint Helena, Ascension and Tristan da Cunha"",""id"":""aZ7Bm5L90rn""},{""name"":""Gibraltar"",""id"":""BVzmce6DVeS""},{""name"":""Martinique"",""id"":""v2B5AtYQV8H""},{""name"":""Netherlands Antilles"",""id"":""COs48yLdDvg""},{""name"":""United States Minor Outlying Islands"",""id"":""KOUhvjWIy6V""},{""name"":""Åland Islands"",""id"":""Adzexk8xbzD""},{""name"":""China: Province of Taiwan only"",""id"":""a0Tb0vzKk1m""},{""name"":""Norfolk Island"",""id"":""O7BGyJhV2Tc""},{""name"":""Isle of Man"",""id"":""ehNfKt5LpG9""}]",[],[],[],[],[],[],48
